ATP6V0C	CAPNS1
RPL24	RPL41
CROP	SEPT2
HNRPA1	RPS25
PHB2	RPS5
EEF1G	RPL19
RPL13A	RPL19
DDX5	HSP90B1
DDX5	MBNL1
APEH	ATP6V0B
H3F3A	RPA1
FNTA	TOP2B
HIATL1	HNRPU
PRKAR1A	RAB7
POPDC3	PRKAR1A
CSRP1	MYH10
MATR3	PSIP1
GOLGA8A	MATR3
SFRS11	ZNF294
RPL10	RPL27A
POPDC3	TMEM66
hfl-B5	SSR1
MGEA5	SFRS5
KTN1	SEC63
RPS23	TPT1
217052_x_at	RPS4X
ADAM10	DEK
TAX1BP1	TRAM1
CAPZA2	RAB6A
RAB6A	RNF13
COX8A	CYC1
SF3B1	SMCHD1
BCLAF1	ZNF277
MBNL1	SFRS2IP
GALNT1	PIGF
ADD3	USP33
ADD3	LOC441046
BIRC2	SCFD1
PFAAP5	RPS7
PFAAP5	RWDD1
LIMA1	NKTR
CTNNAL1	PLSCR4
EPS15	RASA1
NBN	ZNF638
CAPN7	RNPC2
BCL2	LOC441046
PURA	TTC3
CD48	PLAC8
GPSM3	MFNG
HLA-C	LCK
CD79A	IGKV1-5
FAM108A1	G1P2
ALAS1	AURKAIP1
SNCA	ZNF239
IFI16	PNN
ATP8B1	PDE4C
BARX2	GNAT1
KRTHA8	TTC22
PHF3	RBPSUH
CFHR4	IFNA16
ACRV1	C14orf143
LGALS14	PDE3B
NACA	SR140
USP11	ZNF447
RAB2	SCAMP1
SRP72	UBXD2
ATRX	PSIP1
BECN1	CSNK1A1
HNRPH3	YTHDC1
C14orf143	CDC5L
PTENP1	RPS6
HLA-G	IGLC2
CD74	HLA-C
PBX1	TMEM47
CAST	PRDM5
NDUFS7	TBL3
METAP2	SLC38A2
KIAA0265	TMEM14A
IQWD1	STOM
FLJ10154	ZNF638
ARFGEF2	UBE3A
IGHM	IGLJ3
HLA-DQB1	IGLJ3
IGHA1	TRA@
CSDE1	SR140
DDX50	LSM14A
218041_x_at	SCC-112
KIDINS220	ZNF638
BTN2A1	RPL17
DDHD2	NFASC
CMPK	PAPOLA
GARNL1	RABGAP1
EEF1A1	RPL27
FUBP1	PRSS7
LOC58486	SUB1
CSAG2	ISG20L2
NTRK3	SOX15
AURKAIP1	DCXR
MRPL34	NDUFB4
220251_at	CSAG2
CCRN4L	EPOR
215126_at	MMP14
PRKD2	TRADD
PRG1	RPL11
RPL11	RSL1D1
FAU	RPL13
ARF1	CLPTM1
F8A1	OAZ1
LOC402057	RPS7
RSL1D1	U16
FNBP4	U16
RPS25	SF3B1
C13orf10	HSP90B1
ARHGDIB	MSN
GLRX	LASP1
MATR3	METAP2
SET	SF3B1
PPIA	YWHAZ
RNPC2	SFRS11
BTN2A1	RPL7
DDX46	NACA
IQGAP1	STAG2
PAK2	STAT1
MDS1	RPL23
MGEA5	RBM25
C6orf111	MGEA5
RPLP2	TPT1
HNRPA3	KTN1
RPL41	RPL5
MFN1	TAX1BP1
